Sr,Title,Name as per Document (e.g. Leaving Certificate),Birth Date,Student Status,Application No.,Institute,Course,Program,Admission Quota,Student Phone 1,Student Phone 2,Whatsapp No.,Email,Email Alternate,Emergency Contact No.,Father Mobile No.,Mother Mobile No.,Guardian Mobile No.,Aadhaar Card No.
1,Dr,Samaira Dhar,11-09-1975,Duplicate,25UG474598,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,5583373791,3250493277,5583373791,krishhanda@sule.com,iben@yahoo.com,4422751588,4293309921,2181396018,2368254468,3.07452E+11
2,Mrs,Fateh Sankaran,18-03-1976,Duplicate,25UG431271,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,3872531606,6183074027,3872531606,srinivasanrenee@anne-sathe.com,ladnirvi@ratta.com,9146725448,9914016125,9528598559,849799407,4.65086E+11
3,Mrs,Dishani Bala,01-06-1979,Provisionally Admitted,25PG484403,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,1895381650,7876737356,1895381650,kalaemir@yahoo.com,nlall@gmail.com,414437205,227275138,4919869642,9962453711,5.24423E+11
4,Dr,Rohan Singh,31-10-1996,Duplicate,25PG595153,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,5886044617,2863457880,5886044617,hrishitabakshi@hotmail.com,urvidutt@ganesh.net,4249733411,5652225778,1548085099,5233011198,6.85719E+11
5,Ms,Hridaan Tata,16-03-2003,Provisionally Admitted,25UG484166,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,8029098710,2174037158,8029098710,chopranehmat@sule.com,bhargavaveer@hotmail.com,8189747121,369446366,6458358940,546409087,6.06201E+11
6,Miss,Zaina Gour,24-09-1980,Duplicate,25PG266472,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,5923227976,6246066559,5923227976,neysaramaswamy@kumer.info,ddeo@gmail.com,7785222216,6026733391,3387048875,5681507271,6.28996E+11
7,Miss,Damini Dora,03-02-2004,Provisionally Admitted,25UG137284,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,3001935939,7994744448,3001935939,bosemannat@swaminathan.biz,renee87@saraf.com,3899367751,8777869139,159234864,5427560017,1.00935E+11
8,Dr,Zain Koshy,10-04-1988,Provisionally Admitted,25PG513130,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,5711681104,3002861839,5711681104,okapur@shetty.com,vgokhale@ramaswamy.org,445596233,6860251016,4895507623,6042195129,5.14398E+11
9,Mrs,Sahil Soni,15-10-1971,Duplicate,25PG485834,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,292078032,833074525,292078032,waglerania@yahoo.com,aaryahisundaram@sani-aggarwal.net,9430960838,8590616063,1861961332,3693610172,3.78618E+11
10,Miss,Rohan Agarwal,19-09-1993,Duplicate,25UG234969,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,1526494259,4231573317,1526494259,kalasamiha@gmail.com,warriorakarsh@divan.com,347294582,6938606896,6363382893,1326115597,1.78835E+11
11,Dr,Nehmat Bala,04-07-1993,Duplicate,25UG377603,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,800446401,3587168070,800446401,horaakarsh@gmail.com,khoslamannat@yahoo.com,6575073332,537664175,3047873844,2154980247,2.59471E+11
12,Miss,Samarth Bajwa,23-09-2006,Provisionally Admitted,25UG898803,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,2454998318,5199658239,2454998318,vihaan51@bhatia.info,onkardyal@bal.com,3588229922,9990895770,2058803879,217139579,7.81877E+11
